,date,breakout_direction1,breakout_time1,breakout_direction2,breakout_time2,breakout_direction3,breakout_time3,breakout_direction4,breakout_time4,breakout_direction5,breakout_time5,breakout_direction6,breakout_time6,breakout_direction7,breakout_time7,breakout_direction8,breakout_time8,breakout_direction9,breakout_time9,breakout_direction10,breakout_time10,breakout_segment1,breakout_segment2,breakout_segment3,breakout_segment4,breakout_segment5,breakout_segment6,breakout_segment7,breakout_segment8,breakout_segment9,breakout_segment10
0,2008-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2008-01-03,above,2008-01-02 21:50:00,below,2008-01-03 03:00:00,above,2008-01-03 03:10:00,below,2008-01-03 03:40:00,above,2008-01-03 10:05:00,below,2008-01-03 10:10:00,above,2008-01-03 12:10:00,below,2008-01-03 13:05:00,,,,,adr,odr,odr,odr,rdr,rdr,rdr,rdr,,
2,2008-01-07,above,2008-01-06 22:00:00,below,2008-01-07 09:35:00,above,2008-01-07 12:50:00,below,2008-01-07 13:25:00,,,,,,,,,,,,,adr,rdr,rdr,rdr,,,,,,
3,2008-01-08,above,2008-01-07 20:50:00,below,2008-01-08 11:45:00,above,2008-01-08 12:05:00,below,2008-01-08 14:55:00,,,,,,,,,,,,,adr,rdr,rdr,rdr,,,,,,
4,2008-01-09,above,2008-01-08 20:35:00,below,2008-01-09 04:25:00,above,2008-01-09 05:15:00,below,2008-01-09 08:10:00,above,2008-01-09 08:20:00,below,2008-01-09 08:35:00,above,2008-01-09 09:35:00,below,2008-01-09 10:20:00,above,2008-01-09 10:25:00,below,2008-01-09 11:30:00,adr,odr,odr,rdr_transition,rdr_transition,rdr_transition,rdr,rdr,rdr,rdr
5,2008-01-10,above,2008-01-09 22:25:00,below,2008-01-10 00:50:00,above,2008-01-10 12:15:00,below,2008-01-10 12:30:00,above,2008-01-10 12:50:00,below,2008-01-10 13:35:00,above,2008-01-10 14:15:00,,,,,,,adr,adr,rdr,rdr,rdr,rdr,rdr,,,
6,2008-01-14,below,2008-01-13 22:30:00,above,2008-01-14 07:30:00,,,,,,,,,,,,,,,,,adr,odr,,,,,,,,
7,2008-01-15,above,2008-01-14 20:40:00,below,2008-01-14 22:50:00,,,,,,,,,,,,,,,,,adr,adr,,,,,,,,
8,2008-01-16,above,2008-01-15 20:40:00,below,2008-01-16 10:40:00,above,2008-01-16 11:20:00,,,,,,,,,,,,,,,adr,rdr,rdr,,,,,,,
9,2008-01-17,above,2008-01-16 21:25:00,below,2008-01-16 22:30:00,above,2008-01-17 00:10:00,below,2008-01-17 07:10:00,above,2008-01-17 08:30:00,below,2008-01-17 10:15:00,,,,,,,,,adr,adr,adr,odr,rdr_transition,rdr,,,,
10,2008-01-21,below,2008-01-20 20:50:00,,,,,,,,,,,,,,,,,,,adr,,,,,,,,,
11,2008-01-22,above,2008-01-21 21:55:00,below,2008-01-22 02:00:00,above,2008-01-22 06:35:00,below,2008-01-22 08:00:00,above,2008-01-22 08:20:00,below,2008-01-22 09:25:00,above,2008-01-22 09:35:00,,,,,,,adr,adr_transition,odr,rdr_transition,rdr_transition,rdr_transition,rdr,,,
12,2008-01-23,below,2008-01-22 21:25:00,above,2008-01-23 02:55:00,below,2008-01-23 03:30:00,above,2008-01-23 03:50:00,below,2008-01-23 04:05:00,above,2008-01-23 15:25:00,,,,,,,,,adr,adr_transition,odr,odr,odr,rdr,,,,
13,2008-01-24,below,2008-01-23 20:35:00,above,2008-01-23 23:05:00,below,2008-01-24 02:00:00,above,2008-01-24 02:15:00,below,2008-01-24 02:40:00,above,2008-01-24 06:00:00,below,2008-01-24 08:00:00,above,2008-01-24 08:30:00,below,2008-01-24 09:00:00,above,2008-01-24 09:40:00,adr,adr,adr_transition,adr_transition,adr_transition,odr,rdr_transition,rdr_transition,rdr_transition,rdr
14,2008-01-28,above,2008-01-27 21:30:00,below,2008-01-27 22:25:00,above,2008-01-28 08:00:00,below,2008-01-28 09:35:00,above,2008-01-28 09:45:00,below,2008-01-28 10:05:00,above,2008-01-28 10:20:00,,,,,,,adr,adr,rdr_transition,rdr,rdr,rdr,rdr,,,
15,2008-01-29,below,2008-01-28 20:45:00,above,2008-01-29 04:00:00,below,2008-01-29 10:00:00,above,2008-01-29 10:10:00,below,2008-01-29 12:25:00,above,2008-01-29 12:45:00,below,2008-01-29 14:10:00,above,2008-01-29 14:15:00,,,,,adr,odr,rdr,rdr,rdr,rdr,rdr,rdr,,
16,2008-01-30,above,2008-01-29 20:55:00,below,2008-01-29 22:25:00,above,2008-01-29 22:35:00,below,2008-01-29 22:45:00,above,2008-01-30 09:30:00,below,2008-01-30 09:35:00,above,2008-01-30 09:40:00,,,,,,,adr,adr,adr,adr,rdr,rdr,rdr,,,
17,2008-01-31,above,2008-01-30 21:00:00,below,2008-01-31 08:55:00,above,2008-01-31 09:45:00,,,,,,,,,,,,,,,adr,rdr_transition,rdr,,,,,,,
18,2008-02-04,above,2008-02-03 21:05:00,below,2008-02-04 09:25:00,,,,,,,,,,,,,,,,,adr,rdr_transition,,,,,,,,
19,2008-02-05,below,2008-02-04 20:40:00,above,2008-02-05 00:55:00,below,2008-02-05 07:30:00,,,,,,,,,,,,,,,adr,adr,odr,,,,,,,
20,2008-02-06,below,2008-02-05 20:35:00,above,2008-02-06 03:45:00,below,2008-02-06 09:40:00,above,2008-02-06 10:00:00,below,2008-02-06 13:35:00,,,,,,,,,,,adr,odr,rdr,rdr,rdr,,,,,
21,2008-02-07,below,2008-02-06 20:50:00,above,2008-02-06 23:35:00,below,2008-02-07 07:45:00,above,2008-02-07 09:10:00,,,,,,,,,,,,,adr,adr,odr,rdr_transition,,,,,,
22,2008-02-11,below,2008-02-10 20:50:00,above,2008-02-11 03:50:00,below,2008-02-11 04:30:00,above,2008-02-11 05:05:00,,,,,,,,,,,,,adr,odr,odr,odr,,,,,,
23,2008-02-12,below,2008-02-11 21:10:00,above,2008-02-11 22:35:00,below,2008-02-12 03:30:00,above,2008-02-12 06:05:00,below,2008-02-12 15:10:00,,,,,,,,,,,adr,adr,odr,odr,rdr,,,,,
24,2008-02-13,above,2008-02-12 22:20:00,below,2008-02-13 01:40:00,above,2008-02-13 04:15:00,,,,,,,,,,,,,,,adr,adr,odr,,,,,,,
25,2008-02-14,above,2008-02-13 23:35:00,below,2008-02-14 05:00:00,above,2008-02-14 05:50:00,below,2008-02-14 09:30:00,,,,,,,,,,,,,adr,odr,odr,rdr,,,,,,
26,2008-02-18,above,2008-02-17 20:55:00,,,,,,,,,,,,,,,,,,,adr,,,,,,,,,
27,2008-02-19,below,2008-02-18 21:15:00,,,,,,,,,,,,,,,,,,,adr,,,,,,,,,
28,2008-02-20,below,2008-02-19 20:55:00,above,2008-02-19 22:10:00,below,2008-02-19 22:50:00,above,2008-02-20 12:10:00,below,2008-02-20 12:40:00,above,2008-02-20 13:00:00,below,2008-02-20 13:20:00,above,2008-02-20 13:50:00,below,2008-02-20 14:15:00,above,2008-02-20 14:25:00,adr,adr,adr,rdr,rdr,rdr,rdr,rdr,rdr,rdr
29,2008-02-21,below,2008-02-20 20:35:00,above,2008-02-20 21:25:00,below,2008-02-20 21:40:00,above,2008-02-20 22:45:00,below,2008-02-21 00:15:00,above,2008-02-21 00:50:00,below,2008-02-21 02:20:00,above,2008-02-21 04:55:00,below,2008-02-21 10:50:00,,,adr,adr,adr,adr,adr,adr,adr_transition,odr,rdr,
30,2008-02-25,below,2008-02-24 21:20:00,above,2008-02-25 01:00:00,below,2008-02-25 02:00:00,above,2008-02-25 15:35:00,below,2008-02-25 15:45:00,,,,,,,,,,,adr,adr,adr_transition,rdr,rdr,,,,,
31,2008-02-26,above,2008-02-25 22:00:00,below,2008-02-25 23:00:00,above,2008-02-26 04:10:00,below,2008-02-26 08:25:00,above,2008-02-26 11:45:00,,,,,,,,,,,adr,adr,odr,rdr_transition,rdr,,,,,
32,2008-02-27,above,2008-02-26 20:45:00,below,2008-02-27 03:35:00,above,2008-02-27 10:40:00,below,2008-02-27 14:00:00,above,2008-02-27 14:55:00,,,,,,,,,,,adr,odr,rdr,rdr,rdr,,,,,
33,2008-02-28,below,2008-02-27 22:20:00,above,2008-02-27 23:00:00,below,2008-02-28 00:30:00,above,2008-02-28 10:25:00,below,2008-02-28 11:00:00,above,2008-02-28 14:25:00,below,2008-02-28 15:20:00,,,,,,,adr,adr,adr,rdr,rdr,rdr,rdr,,,
34,2008-03-03,below,2008-03-02 20:55:00,above,2008-03-02 22:55:00,below,2008-03-03 00:55:00,above,2008-03-03 04:25:00,below,2008-03-03 04:30:00,above,2008-03-03 04:50:00,below,2008-03-03 06:15:00,above,2008-03-03 07:20:00,below,2008-03-03 09:40:00,above,2008-03-03 10:00:00,adr,adr,adr,odr,odr,odr,odr,odr,rdr,rdr
35,2008-03-04,above,2008-03-03 20:35:00,below,2008-03-04 02:40:00,above,2008-03-04 03:05:00,below,2008-03-04 05:05:00,above,2008-03-04 15:05:00,,,,,,,,,,,adr,adr_transition,odr,odr,rdr,,,,,
36,2008-03-05,above,2008-03-04 21:05:00,below,2008-03-05 00:30:00,above,2008-03-05 02:55:00,below,2008-03-05 03:05:00,above,2008-03-05 05:00:00,below,2008-03-05 13:35:00,above,2008-03-05 14:10:00,,,,,,,adr,adr,adr_transition,odr,odr,rdr,rdr,,,
37,2008-03-06,above,2008-03-05 21:30:00,below,2008-03-06 03:35:00,,,,,,,,,,,,,,,,,adr,odr,,,,,,,,
38,2008-03-10,below,2008-03-09 21:05:00,above,2008-03-09 21:45:00,below,2008-03-09 23:00:00,above,2008-03-10 02:10:00,below,2008-03-10 04:50:00,above,2008-03-10 05:15:00,below,2008-03-10 11:20:00,,,,,,,adr,adr,adr,adr_transition,odr,odr,rdr,,,
39,2008-03-11,above,2008-03-10 20:50:00,,,,,,,,,,,,,,,,,,,adr,,,,,,,,,
